res_id,name,addr,locality,lat,long,cusines,aggr_rating,rate_text,votes
51705,Toit,"298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,12.9788880980,77.6409219950,"Italian, American",4.7,Excellent,15484
18526279,The Globe Grub,"2nd Floor, Soul Space Paradigm, Above Bata Showroom, Outer Ring Road, Marathahalli, Bangalore",Marathahalli,12.9512213434,77.6993042976,"Continental, North Indian, Asian, Italian",4.9,Excellent,4793
18612909,Dhaba Estd 1986 Delhi,"1st Floor, NTR Royal Plaza, Outer Ring Road, Marathahalli, Bangalore",Marathahalli,12.9495931572,77.6990675926,North Indian,4.3,Very Good,1534
18535583,Grill Biryanis,"9, Jalahalli Cross Circle, Jalahalli, Bangalore",Jalahalli,13.0400610000,77.5189200000,"Biryani, North Indian",4.1,Very Good,1489
18782265,The Bangalore Cafe,"4, KH Road, Double Road, Shanti Nagar, Bangalore",Shanti Nagar,12.9616848731,77.5945103914,"Modern Indian, North Indian, Pizza, Continental, Beverages",4.4,Very Good,725
18275048,Tipsy Bull - The Bar Exchange,"2008, 2nd Floor, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,12.9647796725,77.6417816430,"Chinese, Continental, North Indian, Mexican",4.6,Excellent,3427
61381,Kota Kachori,"635, 100 Feet Road, Koramangala 6th Block, Bangalore",Koramangala 6th Block,12.9361486969,77.6254094392,"Street Food, Desserts, North Indian, Mithai, Rajasthani",4.3,Very Good,3828
18880430,Vanilla Sky,"253, 2nd Floor, 5th Main, 17th Cross, Sector 6, HSR, Bangalore",HSR,12.9125370000,77.6333010000,"Chinese, Continental, North Indian, Finger Food",4.5,Excellent,1281
18308756,Hammered,"18, Ali Askar Road, Cunningham Road, Bangalore",Cunningham Road,12.9864513377,77.5949016586,"North Indian, Continental",4.6,Excellent,5292
18512886,Stories,"15, 24th Main Road, 1st Phase, JP Nagar, Bangalore",JP Nagar,12.9135782155,77.5856292620,"American, Chinese, Continental, North Indian",4.4,Very Good,2764
18608773,Empire Restaurant,"77, Ground Floor, Bellandur Outer Ring Road, Bellandur, Bangalore",Bellandur,12.9249423022,77.6744851470,"North Indian, Mughlai, South Indian, Chinese",3.6,Good,2330
18777147,Jetlag,"3, Industrial Suburb, Opposite To Sheraton Hotel, Near Orion Mall, Rajajinagar, Bangalore",Rajajinagar,13.0123096699,77.5544086844,"Finger Food, Continental, North Indian, Italian, Japanese",4.3,Very Good,1522
18492910,Red Rhino,"4th Floor, Uptown Square, Seegehalli, Near Alliance 10 Downing Villas, Hoskote Road, Whitefield, Bangalore",Whitefield,13.0247030988,77.7614996955,"Continental, Mediterranean, South Indian, North Indian, Asian",4.5,Excellent,2147
